file,class,method,variable,usage
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,PersonaDP/1[java.lang.String],st,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,PersonaDP/1[java.lang.String],datos,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,setId/1[java.lang.String],id,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,setNext/1[PersonaDP],dir,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,setNombre/1[java.lang.String],nombre,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaDP.java,PersonaDP,setTelefono/1[java.lang.String],telefono,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,consultarNombre/1[java.lang.String],encontrado,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,consultarNombre/1[java.lang.String],datos,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,consultarNombre/1[java.lang.String],name,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,consultarNombre/1[java.lang.String],nombre,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,modificarNodo/1[java.lang.String],st,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,modificarNodo/1[java.lang.String],datos,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,modificarNodo/1[java.lang.String],telefono,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,modificarNodo/1[java.lang.String],nombre,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,crearNodoInicio/1[java.lang.String],datos,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,crearNodoInicio/1[java.lang.String],respuesta,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,datosListaArchivo/0,resultado,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,datosListaArchivo/0,ioe,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,PersonaAD/0,datos,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,PersonaAD/0,ioe,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,vacia/0,vacia,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,consultarNodo/0,datos,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,crearNodo/1[java.lang.String],datos,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,crearNodo/1[java.lang.String],respuesta,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,consultarId/1[java.lang.String],clave,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,consultarId/1[java.lang.String],encontrado,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,consultarId/1[java.lang.String],datos,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaAD.java,PersonaAD,consultarId/1[java.lang.String],id,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaIUG.java,PersonaIUG,habilitarBotones/1[boolean],value,8
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaIUG.java,PersonaIUG,main/1[java.lang.String[]],args,0
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaIUG.java,PersonaIUG,actionPerformed/1[java.awt.event.ActionEvent],st,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaIUG.java,PersonaIUG,actionPerformed/1[java.awt.event.ActionEvent],resultado,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaIUG.java,PersonaIUG,actionPerformed/1[java.awt.event.ActionEvent],e,9
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaIUG.java,PersonaIUG,print/1[java.lang.String],str,9
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaIUG.java,PersonaIUG,consultarId/0,vacia,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/PersonaLinkedList/PersonaIUG.java,PersonaIUG,consultarNombre/0,vacia,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,serieUNO/1[long],sumaFloat,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,serieUNO/1[long],i,8
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,serieUNO/1[long],iFact,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,serieUNO/1[long],n,9
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,serieUNO/1[long],stri,13
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,operacionesDos/1[int],sumaFloat,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,operacionesDos/1[int],i,7
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,operacionesDos/1[int],n,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,operacionesDos/1[int],stri,5
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"expo/2[int,int]",pot,5
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"expo/2[int,int]",x,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"expo/2[int,int]",y,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"expo/2[int,int]",i,6
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,factr/1[float],i,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,factr/1[float],facto,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,factr/1[float],n,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,fact/1[long],i,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,fact/1[long],facto,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,fact/1[long],n,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,operacionesUno/1[int],suma,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,operacionesUno/1[int],i,7
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,operacionesUno/1[int],n,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,operacionesUno/1[int],stri,5
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,factorial/1[long],fact,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,factorial/1[long],i,7
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,factorial/1[long],n,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,factorial/1[long],stri,5
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,sumaDos/1[int],sumaFloat,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,sumaDos/1[int],i,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,sumaDos/1[int],n,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calcularRaices/3[double,double,double]",a,6
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calcularRaices/3[double,double,double]",res,7
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calcularRaices/3[double,double,double]",b,8
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calcularRaices/3[double,double,double]",det,7
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calcularRaices/3[double,double,double]",img,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calcularRaices/3[double,double,double]",c,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calcularRaices/3[double,double,double]",x1,7
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calcularRaices/3[double,double,double]",x2,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,table/1[long],mult,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,table/1[long],i,5
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,table/1[long],n,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,table/1[long],stri,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,ser/1[int],sumaFloat,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,ser/1[int],i,5
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,ser/1[int],iFact,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,ser/1[int],n,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,sumaTres/1[int],sumaFloat,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,sumaTres/1[int],i,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,sumaTres/1[int],cont,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,sumaTres/1[int],n,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,fact1/1[double],aux,0
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,fact1/1[double],i,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,fact1/1[double],auxiliar,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,fact1/1[double],facto,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,fact1/1[double],n,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"exponencialLong/2[long,long]",str,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"exponencialLong/2[long,long]",pot,9
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"exponencialLong/2[long,long]",x,7
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"exponencialLong/2[long,long]",y,5
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"exponencialLong/2[long,long]",i,6
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,serie/1[int],sumaFloat,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,serie/1[int],i,8
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,serie/1[int],iFact,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,serie/1[int],n,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,serie/1[int],stri,5
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,sumaUno/1[int],suma,3
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,sumaUno/1[int],i,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,sumaUno/1[int],n,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calculadora/3[float,float,int]",op,1
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calculadora/3[float,float,int]",res,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calculadora/3[float,float,int]",n1,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"calculadora/3[float,float,int]",n2,2
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"exponencial/2[int,int]",B,0
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"exponencial/2[int,int]",pot,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"exponencial/2[int,int]",x,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"exponencial/2[int,int]",y,4
/home/jovyan/work/toolkit/../dataSets/linkedListsStudy/linked-lists/Object-Oriented Programming Project/CalculoPD.java,CalculoPD,"exponencial/2[int,int]",i,7
